job_id,completed_date,crew,work_type,road_name,notes
JOB-4155,2026-08-30,Lighting & Street Furniture,Streetlight column repair,Vajira Road,Completed after second visit.
JOB-4177,2026-08-29,Drainage,Storm drain inspection,Bauddhaloka Mawatha,
JOB-4172,2026-09-04,Drainage,Drain clearing,Duplication Road,Completed.
JOB-4156,2026-09-05,Drainage,Culvert repair,Hospital Road,Completed after second visit.
JOB-4164,2026-08-30,Road Surface,Pothole patching,Maradana Road,Attended and closed.
JOB-4130,2026-09-05,Drainage,Storm drain inspection,Pamankada Road,Closed.
JOB-4108,2026-08-31,Road Surface,Line marking,Ward Place,"Completed. Minor delay, traffic."
JOB-4185,2026-08-25,Drainage,Gully cleaning,Kynsey Road,Attended and closed.
JOB-4134,2026-09-02,Lighting & Street Furniture,Sign post repair,Old Kesbewa Road,Attended and closed.
JOB-4110,2026-08-25,Lighting & Street Furniture,Streetlight bulb replacement,High Level Road,
JOB-4100,2026-08-31,Road Surface,Pothole patching,Havelock Road,"Work completed, no further action."
JOB-4124,2026-08-29,Road Surface,Pothole patching,Polhengoda Road,"Completed. Minor delay, traffic."
JOB-4184,2026-08-24,Road Surface,Pothole patching,Lake Drive,Attended and closed.
JOB-4127,2026-09-05,Drainage,Manhole cover replacement,Model Farm Road,Completed after second visit.
JOB-4152,2026-08-30,Road Surface,Line marking,Muhandiram Place,Completed - materials from depot.
JOB-4149,2026-09-07,Drainage,Manhole cover replacement,Kollupitiya Road,Completed.
JOB-4102,2026-09-03,Drainage,Drain clearing,Torrington Avenue,"Work completed, no further action."
JOB-4166,2026-09-02,Road Surface,Pothole patching,Rosmead Place,Completed after second visit.
JOB-4153,2026-09-03,Lighting & Street Furniture,Bench replacement,Bauddhaloka Mawatha,Completed.
